Thickness of the beam,Number of bands,Width of the bands,SD,Spacing of the bands,SD,Depth of the bands,SD,Depth of the bands/thickness,SD
mm,,µm,,µm,,µm,,µm,
0.44,110,14.16,8.39,97.93,25.65,,,,
0.44,132,19,5,92,34.7,,,,
1,43,29.4498381877023,12.6416832421847,225.592417061611,65.8990190222133,234.227405247813,85.2150514479322,234.227405247813,85.2150514479322
1,63,26.3,13.4,215.2,73.4,189.890415187529,73.0371366582108,189.890415187529,73.0371366582108
1.91,22,15.5,6.4,518.8,294,--,--,--,--
1.86,29,22.546,7.505,418.89,135.12,--,--,--,--
3,18,30.4324127906977,7.16329487952869,590.799615,143.071955284522,394.736842,41.6083271,112.47772,22.57782
3,20,27.8,8.2,569.3,173,,,,
3,23,37.5,15.3,556.2,170,,,,
3,23,22.2,7.2,511.1,151.9,,,,
3,18,38.1,12.5,641.5,184,,,,
